bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description,latitude,longitude,geocode_source,gmaps_formatted_address
BPI,06802-CEB-243,Cebu City,Residential - Townhouse,Tonito Homes,Lot 7014-C-3-B Unit 2 Tonito Homes Abi Abi Street Sun Valley Subdivision Barangay Calamba Cebu City,110.0,180.0,9700000,townhouse,10.3051396,123.8846341,Google Maps API,"8V4M+3V2, Abi Abi, Cebu City, 6000 Cebu, Philippines"
BPI,06824-CEB-246,Cebu City,Residential - Condominium Unit,Horizons 101,Unit T1R27P 27th Floor Horizons 101 Tower 1 General Maxilom Avenue Barangay Central Poblacion Cebu City,0.0,60.3,11500000,condominium unit,10.3105301,123.8974315,Google Maps API,"74 General Maxilom Ave, Cebu City, 6000 Cebu, Philippines"
BPI,06883-CEB-248,Cebu City,Residential - Condominium Unit,Azalea Place,Unit 220 22nd Floor Azalea Place Gorordo Avenue Barangay Lahug Cebu City,0.0,48.0,6800000,condominium unit,10.3212116,123.899272,Google Maps API,"Gorordo Ave, Cebu City, 6000 Cebu, Philippines"
BPI,06884-CEB-249,Cebu City,Residential - Condominium Unit,Myvan Cityscape Tower II,Unit 1407 Myvan Cityscape Tower II Uptown Juana Osmena Street Barangay Camputhaw Cebu City,0.0,20.15,2950000,condominium unit,10.3273187,123.9208597,Google Maps API,"8WGC+W8H, F. Cabahug St, Mandaue, 6014 Cebu, Philippines"
BPI,07005-CEB-250,Cebu City,Residential - Condominium Unit,Avida Towers Riala,Unit 2909 29th Floor Avida Towers Riala Tower 1 Jose Maria del Mar Street Cebu Asia IT Park Barangay Apas Cebu City,0.0,23.51,4500000,condominium unit,10.3328036,123.9090696,Google Maps API,"Avida Towers Riala, Jose Maria del Mar Ave, Apas, Cebu City, 6000 Cebu, Philippines"
BPI,07016-CEB-252,Cebu City,Residential - House and Lot,North Belleza Subdivision,Lot 2 Block 1 North Belleza Subdivision Barangay San Jose Cebu City,99.0,111.0,7200000,house and lot,10.3794078,123.9156602,Google Maps API,"Cebu City, 6000 Cebu, Philippines"
BPI,07020-CEB-255,Cebu City,Residential - Condominium Unit,Mivesa Garden Residences,Unit 609 Mivesa Garden Residences Building 2 Barangay Lahug Cebu City,0.0,20.0,3450000,condominium unit,10.3338446,123.8952695,Google Maps API,"Salinas Dr, Cebu City, 6000 Cebu, Philippines"
BPI,07023-CEB-256,Cebu City,Residential - Condominium Unit,The Persimmon,Unit 6-C The Persimmon North Tower Barangay Mabolo Cebu City,0.0,41.32,6800000,condominium unit,10.3123922,123.911094,Google Maps API,"The Persimmon, Mabolo, Cebu City, 6000 Cebu, Philippines"
BPI,04847-CEB-124,Consolacion,Residential - Townhouse,Pueblo El Grande Subdivision,Lot 69 Block 2 Pueblo El Grande Subdivision Phase 3 Barangay Tayud Consolacion,120.0,112.0,4950000,townhouse,10.3687028,123.9861692,Google Maps API,"9X9P+FFM, Consolacion-Tayud-Liloan Rd, Consolacion, 6001 Cebu, Philippines"
BPI,05721-CEB-198,Consolacion,Residential - House and Lot,El Monteverde de Cebu,Lot 2 Block 1 New Orleans Street El Monteverde de Cebu Subdivision Barangay Lamac Consolacion,150.0,198.0,5800000,house and lot,10.389355,123.9642126,Google Maps API,"9XQ7+PMW, New Orleans St, Consolacion, Cebu, Philippines"
BPI,05194-CEB-160,Consolacion,Residential - Townhouse,Villa Solana Subdivision,Lot 3 Block 2 Villa Solana Subdivision Phase 1 Barangay Tugbongan Consolacion,79.0,65.0,2400000,townhouse,10.3691043,123.9565432,Google Maps API,"9X94+JJV, Mandaue, Cebu, Philippines"
BPI,04551-CEB-107,Lapu-Lapu City,Residential - House and Lot,White Sand Villas,Lot 3954-B1 to B-3 Paseo de Sta Ana corner unnamed road White Sand Villas Barangay Maribago Lapu-lapu City,732.0,785.0,15200000,house and lot,10.286857,123.998208,Google Maps API,"Cebu White Sands, Lapu-Lapu, Cebu, Philippines"
BPI,05131-CEB-154,Lapu-Lapu City,Residential - Townhouse,Bayswater Subdivision,Lot 7 Block 18 Orchidia Street Bayswater Subdivision Barangay Marigondon Lapu-lapu City,97.0,84.6,6400000,townhouse,10.281422,123.9794768,Google Maps API,"Bayswater Ibabao - Gisi - Agus Rd, Lapu-Lapu, Cebu, Philippines"
BPI,05453-CEB-169,Lapu-Lapu City,Residential - Townhouse,Modena Subdivision,Lot 2 Caterina Street Modena Subdivision Barangay Basak Lapu-lapu City,90.0,78.9,5600000,townhouse,10.2924625,123.9590091,Google Maps API,"Basak Rd., Basak Mactan Island, 7XV5+9GC, Basak Eskwelahan Rd, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,05545-CEB-173,Lapu-Lapu City,Residential - Townhouse,CKL Homes,Lot 10 Block 6 CKL Homes Barangay Agus Lapu-Lapu City,32.0,48.0,1600000,townhouse,10.2835921,123.9862526,Google Maps API,"7XMP+CGJ, Bunga, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,05621-CEB-184,Lapu-Lapu City,Residential - House and Lot,Juanita Residences,Lot 15 PSD-07-073954 Juanita Residences Buaya Lapu-Lapu City,80.2,58.0,3400000,house and lot,10.3145723,123.9957232,Google Maps API,"8X7W+R7H, Saac 1, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,05647-CEB-186,Lapu-Lapu City,Residential - House and Lot,Goldmine Residences,Lot 6 Block 3 Goldmine Residences Phase 1 Soong 1 Mactan Lapu-lapu City,55.0,75.0,3700000,house and lot,10.2982546,123.9987826,Google Maps API,"7XXX+8G3, Soong 1, Mactan, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,05765-CEB-203,Lapu-Lapu City,Residential - Townhouse,CKL Homes Subdivision,Lot 4 Block 3 CKL Homes Subdivision Barangay Agus Lapu-Lapu City,32.0,43.0,1600000,townhouse,10.2835921,123.9862526,Google Maps API,"7XMP+CGJ, Bunga, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,05877-CEB-213,Lapu-Lapu City,Residential - House and Lot,Acasys Homes,Lot 2880-B-1 Acasys Homes Tirso Manus Road Barangay Basak Lapu-lapu City,68.0,135.0,6000000,house and lot,10.2923951,123.9696117,Google Maps API,"7XR9+XR5, Basak, Lapu-Lapu, Cebu, Philippines"
BPI,06123-CEB-235,Lapu-Lapu City,Residential - House and Lot,Acasys Homes,Lot 2880-B-4 Tirso Manus Road Acasys Homes Barangay Basak Lapu-lapu City,60.0,122.0,4500000,house and lot,10.2923951,123.9696117,Google Maps API,"7XR9+XR5, Basak, Lapu-Lapu, Cebu, Philippines"
BPI,06822-CEB-247,Lapu-Lapu City,Residential - Townhouse,Juanita Residences,Lot 5 Juanita Residences Barangay Buaya Lapu-lapu City,58.0,64.0,3050000,townhouse,10.3145723,123.9957232,Google Maps API,"8X7W+R7H, Saac 1, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,07026-CEB-257,Lapu-Lapu City,Residential - Townhouse,Juanita Residences,Lot 7 Juanita Residences Barangay Buaya Lapu-lapu City,58.0,68.0,3300000,townhouse,10.3145723,123.9957232,Google Maps API,"8X7W+R7H, Saac 1, Lapu-Lapu, 6015 Cebu, Philippines"
BPI,01664-CEB-014,Liloan,Residential - Vacant Lot,,Lot 958 Brgy Road Brgy Calero Liloan Cebu,7189.0,0.0,4560000,vacant lot,10.3684199,123.9986881,Google Maps API,"Calero, Liloan, Cebu, Philippines"
BPI,04850-CEB-127,Liloan,Residential - Townhouse,Northgate Subdivision,Lot 27 Block 2 Northgate Subdivision Barangay Poblacion Liloan,59.0,77.0,2660000,townhouse,10.4059272,123.9903531,Google Maps API,"Northgate Subdivision Bahac Cogon, CX4R+94H, Poblacion, Cebu City, 6002 Cebu, Philippines"
BPI,06819-CEB-244,Liloan,Residential - House and Lot,Eastland Estate Subdivision,Lot 1 Gardenia Street Eastland Estate Subdivision Barangay Yati Liloan,87.0,62.0,4670000,house and lot,10.3958383,123.9808705,Google Maps API,"Eastland Dr, Liloan, 6002 Cebu, Philippines"
BPI,04553-CEB-108,Mandaue City,Residential - Townhouse,Dreamhomes Executive Village II,Lot 2 Block 2 Dreamhomes Executive Village II Barangay Basak Mandaue City,131.0,108.0,5300000,townhouse,10.3620123,123.9479564,Google Maps API,"9W6X+R54, Mandaue, Cebu, Philippines"
BPI,05392-CEB-168,Mandaue City,Residential - Townhouse,Karls Town 1,Lot 1944-A-6-A-7 Karls Town 1 Jagobiao Mandaue City,55.0,78.0,3400000,townhouse,10.3341187,123.9134612,Google Maps API,"1st Street, Mandaue, 6000 Cebu, Philippines"
BPI,05718-CEB-197,Mandaue City,Residential - House and Lot,Karls Town II,Unit 28 Lot 16 Block 2 Karls Town II Barangay Maguikay Mandaue City,54.0,75.0,3700000,house and lot,10.3413235,123.9436897,Google Maps API,"8WRV+GGC, M.D.Echavez, Maguikay, Mandaue, 6014 Cebu, Philippines"
BPI,06787-CEB-240,Mandaue City,Residential - Townhouse,Pereville Subdivision,Lot 3 Block 17 Pereville Subdivision Barangay Pagsabungan Mandaue City,50.0,80.0,5000000,townhouse,10.3556471,123.9440233,Google Maps API,"Blk 3 Lot 1, Pereville Subdivision, P.Sanchez / Pagsabungan Rd, Mandaue, Cebu, Philippines"
BPI,06820-CEB-245,Mandaue City,Residential - Condominium Unit,Amaia Steps North Tower,Unit 221 2nd Floor Amaia Steps North Tower Barangay Alang-alang Mandaue City,0.0,24.01,3270000,condominium unit,10.339164,123.9553647,Google Maps API,"Plaridel St, Alang-alang, Mandaue, 6014 Cebu, Philippines"
BPI,07019-CEB-254,Mandaue City,Residential - Condominium Unit,Midpoint Residences,Unit 2003 20th Floor Midpoint Residences Tower 1 AS Fortuna Barangay Banilad Mandaue City,0.0,24.35,3750000,condominium unit,10.341693,123.9165702,Google Maps API,"8WR8+MJG, Ines Ouano Rd, Mandaue, Cebu, Philippines"
BPI,05189-CEB-159,Minglanilla,Residential - Townhouse,Lucena Homes Subdivision,Lot 27 Block 1 Lucena Homes Subdivision Barangay Lower Pakigne Minglanilla,46.0,55.0,2000000,townhouse,10.2475176,123.8068441,Google Maps API,"6RX4+2P5, Lower Pakigne, Minglanilla, 6046 Cebu, Philippines"
BPI,05837-CEB-208,Minglanilla,Residential - House and Lot,Modena Subdivision Phase 2,Lot 4 Block 2 Modena Subdivision Phase 2 Barangay Tunghaan Minglanilla,60.0,73.0,3500000,house and lot,10.2426844,123.777438,Google Maps API,"Estaka St, Tungko, Minglanilla, 6046 Cebu, Philippines"
BPI,05879-CEB-214,Minglanilla,Residential - House and Lot,Monte Carlo Subdivision,Lot 5 Block 9 Monte Carlo Subdivision Barangay Vito Minglanilla,80.0,54.0,3000000,house and lot,10.2542922,123.7930428,Google Maps API,"6046, Minglanilla, Cebu, Philippines"
BPI,05885-CEB-217,Minglanilla,Residential - Townhouse,Modena Subdivision Phase 4,Lot 1 Block 4 Modena Subdivision Phase 4 Barangay Tunghaan Minglanilla,85.0,72.0,4500000,townhouse,10.2426844,123.777438,Google Maps API,"Estaka St, Tungko, Minglanilla, 6046 Cebu, Philippines"
BPI,05036-CEB-136,Talisay City,Residential - Townhouse,NLC Residences 2,Lot 387-B-7 Unit G NLC Residences 2 Carmen Barangay Cansojong Talisay City,53.5,77.04,4000000,townhouse,10.2525949,123.8461703,Google Maps API,"7R3W+2FM, Talisay, Cebu, Philippines"
BPI,05109-CEB-146,Talisay City,Residential - Townhouse,NLC Residences 2,Unit E Lot 387-B-5 NLC Residences 2 Carmen Barangay Cansojong Talisay City,39.4,87.0,3150000,townhouse,10.2525949,123.8461703,Google Maps API,"7R3W+2FM, Talisay, Cebu, Philippines"
BPI,05562-CEB-178,Talisay City,Residential - Townhouse,Alberlyn Box Hill Residences,Lot 40 Block 1 Alberlyn Box Hill Residences Mohon Talisay City,70.0,65.0,3800000,townhouse,10.2497538,123.8220954,Google Maps API,"6RXC+WR5, Mohon, Talisay, Cebu, Philippines"
BPI,05744-CEB-200,Talisay City,Residential - House and Lot,Amber Homes,Lot 5-D Base Street Amber Homes Barangay Cansojong Talisay City,58.0,86.0,3300000,house and lot,10.2439516,123.8480575,Google Maps API,"6RVX+H6M, Cebu City, Cebu, Philippines"
BPI,05753-CEB-201,Talisay City,Residential - House and Lot,Amber Homes Phase 1,Lot 5-E Base Street Amber Homes Phase 1 Barangay Cansojong Talisay City,56.0,86.0,3300000,house and lot,10.2439516,123.8480575,Google Maps API,"6RVX+H6M, Cebu City, Cebu, Philippines"
BPI,05899-CEB-218,Talisay City,Residential - House and Lot,Bayswater Subdivision,Lot 21 Block 8 Bayswater Subdivision Barangay Pooc Talisay City,42.0,60.0,3500000,house and lot,10.2464088,123.8328163,Google Maps API,"Block 16, Lot 16RWG+9QM Burgos St, Talisay, Cebu, Philippines"
BPI,05914-CEB-220,Talisay City,Residential - House and Lot,Alberlyn Box Hill Residences,Lot 2 Block 8 Alberlyn Box Hill Residences Barangay Mohon Talisay City,75.0,65.0,5000000,house and lot,10.2497538,123.8220954,Google Maps API,"6RXC+WR5, Mohon, Talisay, Cebu, Philippines"
BPI,06246-CEB-238,Talisay City,Residential - House and Lot,Alberlyn Box Hill Residences,Lot 34 Block 1 Alberlyn Box Hill Residences Barangay Mohon Talisay City,68.0,65.0,4170000,house and lot,10.2497538,123.8220954,Google Maps API,"6RXC+WR5, Mohon, Talisay, Cebu, Philippines"
BPI,07017-CEB-253,Talisay City,Residential - House and Lot,South Covina Subdivision,Lot 12 Block 2 South Covina Subdivision Barangay Dumlog Talisay City,70.0,68.0,4600000,house and lot,10.2391439,123.842875,Google Maps API,"6RQV+M45, Talisay, Cebu, Philippines"
Metrobank,10000000004428,Lapu-Lapu City,Residential - Condominium Unit,Mactan Oasis Garden,Bldg 9 Unit No 108 Mactan Oasis Garden Mactan Lapu-Lapu City,0.0,36.56,878000,condominium unit,10.2967846,124.0024785,Google Maps API,"Mactan Oasis Garden, Mactan, Lapu-Lapu, 6015 Cebu, Philippines"
Metrobank,10000000004429,Lapu-Lapu City,Residential - Condominium Unit,Mactan Oasis Garden,Bldg 9 Unit No 109 Mactan Oasis Garden Mactan Lapu-Lapu City,0.0,36.56,878000,condominium unit,10.2967846,124.0024785,Google Maps API,"Mactan Oasis Garden, Mactan, Lapu-Lapu, 6015 Cebu, Philippines"
Metrobank,10828000003220,Mandaue City,Residential - Townhouse,AGR Residences,Lot 4 Unit 4 AGR Residences Brgy Cubacub Mandaue City,110.0,165.0,5834000,townhouse,10.3667673,123.9419456,Google Maps API,"9W8R+PQ4, Cubacub St, Mandaue, Cebu, Philippines"
Metrobank,10828000003696,Mandaue City,Residential - House and Lot,Florentina 1 Townhomes,Lot 1619-A-2-B Florentina 1 Townhomes Canduman-Tawason Road Barangay Canduman Mandaue City,70.0,80.0,2949000,house and lot,10.3486549,123.9507899,Google Maps API,"1st St, Mandaue, Cebu, Philippines"
Metrobank,10828000003810,Cebu City,Residential - Condominium Unit,San Remo Oasis Building 3,Unit U3301 3rd Floor San Remo Oasis Building 3 South Road Properties Cebu City,0.0,30.17,3651000,condominium unit,10.3280562,123.9150853,Google Maps API,"8WH8+62G, Cebu City, 6000 Cebu, Philippines"
Metrobank,10828000003852,Cebu City,Residential - Condominium Unit,Sundance Residences Tower 1,Unit 11U 11th Floor Sundance Residences Tower 1 Barangay Guadalupe Cebu City,0.0,31.99,3775000,condominium unit,10.3151542,123.8833416,Google Maps API,"Banawa R. Duterte St, Cebu City, 6000 Cebu, Philippines"
Metrobank,10828000003892,Cordova,Residential - House and Lot,Ajoya Subdivision,Lot 5 Block 16 Along Road Lot 24 Ajoya Subdivision Barangay Gabi Cordova,80.0,44.0,2788000,house and lot,10.2669609,123.9582232,Google Maps API,"7X85+Q7Q, Gabi Rd, Cordova, Cebu, Philippines"
Metrobank,10828000003897,Lapu-Lapu City,Residential - House and Lot,Villa del Rio Mactan Subdivision,Lot 33 Block 1 Villa del Rio Mactan Subdivision Barangay Babag 1 Lapu-Lapu City,120.0,296.0,7188000,house and lot,10.2789973,123.9474761,Google Maps API,"VILLA DEL RIO MACTAN SUBDIVISION, Babag II Rd, Lapu-Lapu, 6015 Cebu, Philippines"
Metrobank,10828000003927,Mandaue City,Residential - Townhouse,Northwoods Residences,Lot 6 Block 4 Northwoods Residences Barangay Canduman Mandaue City,86.0,95.0,4674000,townhouse,10.3688559,123.9274053,Google Maps API,"H Abellana, Mandaue, 6014 Cebu, Philippines"
Metrobank,10828000003928,Minglanilla,Residential - House and Lot,Midori Plains Subdivision,Lot 4 Block 6 Midori Plains Subdivision Barangay Tungkop Minglanilla,149.0,52.0,3923000,house and lot,10.2360158,123.7812764,Google Maps API,"Midori Plains Subdivision, Tungkop Rd, Minglanilla, Cebu, Philippines"
Metrobank,10828000003930,Minglanilla,Residential - House and Lot,Fonte Versailles Subdivision,Lot 2 Block 7 Fonte Versailles Subdivision Phase 1 Barangay Tulay Minglanilla,203.0,189.0,6437000,house and lot,10.2365999,123.7927538,Google Maps API,"Tulay, Minglanilla, 6046 Cebu, Philippines"
Metrobank,10828000003931,Lapu-Lapu City,Residential - House and Lot,Portville Mactan Subdivision,Lot 5 Block 8 Portville Mactan Subdivision Barangay Buaya Lapu-Lapu City,42.0,48.0,1694000,house and lot,10.3113119,123.9886412,Google Maps API,"8X6Q+GFC, Lapu-Lapu, 6015 Cebu, Philippines"
Metrobank,10828000003932,Lapu-Lapu City,Residential - House and Lot,Portville Mactan Subdivision,Lot 24 Block 8 Portville Mactan Subdivision Barangay Buaya Lapu-Lapu City,42.0,48.0,1659000,house and lot,10.3113119,123.9886412,Google Maps API,"8X6Q+GFC, Lapu-Lapu, 6015 Cebu, Philippines"
Metrobank,10828000003979,Minglanilla,Residential - House and Lot,Hacienda San Agustin Subdivision,Lot 1 Block 4 Hacienda San Agustin Subdivision Barangay Lower Calajo-an Minglanilla,294.0,166.0,7019000,house and lot,10.2475282,123.8042645,Google Maps API,"Hacienda San Agustin Rd, Calajo-an, Minglanilla, Cebu, Philippines"
Metrobank,10828000003640,Cebu City,Residential - House and Lot,,Lot 7545-B-1 Legaspi Street Barangay Sto Nino Cebu City,72.0,225.0,6788775,house and lot with improvement,10.2947016,123.9037934,Google Maps API,"1 Legaspi St, Cebu City, 6000 Cebu, Philippines"
Metrobank,10828000003644,Cebu City,Residential - House and Lot,Espina Village,Nos 095-A and 095-B 2nd Street Espina Village Barangay Guadalupe Cebu City,1000.0,581.0,38682225,house and lot,10.308185,123.887931,Google Maps API,"3rd Street B. Rodriguez St, Cebu City, 6000 Cebu, Philippines"
Bank of Commerce,151764 & 151765,Cebu City,Residential - House and Lot,,Lots 8 and 3 Blk 2 Bontores St Brgy Basak Cebu City,463.0,0.0,8064000,house and lot with improvement,10.3403921,123.9146414,Google Maps API,"The Midpoint Residences, Ines Ouano Rd, Mandaue, Cebu, Philippines"
Bank of Commerce,107-2018007636,Cebu City,Residential - Condominium Unit,Mivesa Garden Residences,Unit 202 2/F Mivesa Garden Residences Building 4 Southwest Salinas Drive Extension Cebu City,0.0,27.57,2868000,condominium unit,10.3338446,123.8952695,Google Maps API,"Salinas Dr, Cebu City, 6000 Cebu, Philippines"
Bank of Commerce,111-2019001634,Consolacion,Residential - Townhouse,Anami Homes North Subd,Lot 12 Blk 6 Road Lot 8 Anami Homes North Subd Brgy Jugan Consolacion Cebu,55.0,0.0,3116000,townhouse,10.376209,123.9770806,Google Maps API,"9XFH+V3J, Central Nautical Hwy, Jugan, Consolacion, 6001 Cebu, Philippines"
Bank of Commerce,111-2021001527,Mandaue City,Residential - House and Lot,,Lot 243-F-1 Brgy Looc Mandaue Cebu,252.0,0.0,7476000,residential lot with 2-storey bldg,10.3229191,123.9541571,Google Maps API,"8XF3+5M7, A.Mabini, Mandaue, 6014 Cebu, Philippines"
