Province,City,Barangay,Street_Subdivision,Vicinity,Classification,Zonal_Value,DO_No,Effectivity_Date,Source
UNKNOWN,UNKNOWN,UNKNOWN,herein shall apply provided the same is  higher than (1)  the  fair  market  value  as shown in the schedule of values of the City Assessor,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,and (2) the gross selling price/consideration as shown in the duly notarized document of sale or transfer of real property.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,and (2) the gross selling price/consideration as shown in the duly notarized document of sale or transfer of real property.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,(original signed),nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,BENJAMIN E. DIOKNO,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RECOMMENDED BY:,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RECOMMENDED BY:,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RECOMMENDED BY:,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,(original signed),Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"ROMEO D. LUMAGUI, JR.",Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Commissioner of Internal Revenue,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Commissioner of Internal Revenue,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Commissioner of Internal Revenue,Secretary of Finance,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RESIDENTIAL,LAND/CONDOMINIUM  PRINCIPALLY DEVOTED TO HABITATION.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,COMMERCIAL,LAND DEVOTED PRINCIPALLY TO COMMMERCIAL,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,COMMERCIAL,PURPOSES AND GENERALLY FOR THE OBJECT OF PROFIT.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,INDUSTRIAL,DEVOTED PRINCIPALLY TO INDUSTRY AS CAPITAL.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,"DEVOTED PRINCIPALLY TO RAISING OF CROP SUCH AS RICE,",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,"CORN, SUGARCANE, TOBACCO, ETC. OR TO PASTURING,",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,"INLAND FISHING, SALT-MAKING, AND OTHER AGRICULTURAL",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,USES INCLUDING TIMBERLAND AND FOREST LAND.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,"RAWLAND, UNDEVELOPED AND UNDERDEVELOPED AREA",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,WHICH HAS POTENTIAL FOR DEVELOPMENT INTO,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,"RESIDENTIAL, COMMERCIAL, INDUSTRIAL, INSTITUTIONAL,",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,"ETC. MUST NOT BE LESS THAN 5,000 SQUARE METERS.",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,"MEANS AN AREA, LOCALITY, NEIGHBORHOOD OR DISTRICT",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,"ABOUT, NEAR, ADJACENT PROXIMATE OR CONTIGUOUS TO A",nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,STREET BEING LOCATED.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,STREET BEING LOCATED.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,STREET BEING LOCATED.,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RR                     Residential Regular,GL                         Government Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,CR                     Commercial Regular,GP                          General Purposes,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RC                     Residential Condominium,I                             Industrial,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,CC                     Commercial Condominium,X                           Institutional,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,CL                     Cemetery Lot,APD                      Area for Priority Development,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A                       Agricultural,PS                        Parking Slot,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A                       Agricultural,PS                        Parking Slot,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL LANDS,PS                        Parking Slot,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A1    Riceland Irrigated,A26  Bamboo Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A2    Riceland Unirrigated,A27  Peanut Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A3    Upland,A28  Soy beans Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A4    Coco Land,A29  Grape vineyard,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A5    Citrus Land,A30  Pepper Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A6    Fishpond,A31  Mineral Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A7    Swamp,A32  Non Metallic mineral Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A8    Nipa Land,A33  Coal Deposit,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A9    Cotton Land,A34  African Oil Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A10  Cogon,A35  Rubber Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A11  Abaca Land,A36  Forest Land/Timber Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A12  Orchard,A37  Horticultural Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A13  Pineapple Land,A38  Salt Beds,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A14  Banana Land,A39  Seashore,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A15  Pasture Land,A40  Resort,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A16  Corn Land,A41  Sandy/Stony,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A17  Sugar Land,A42  Prawn pond,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A18  Tobacco Land,A43  Sorghum,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A19  Cacao,A44  Ipil-ipil,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A20  Lanzones,A45  Kangkong,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A21  Durian,A46  Zarate,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A22  Rambutan,A47  Vegetable Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A23  Mango,A48  Coffee,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A24  Mangrove,A49  Mountainous / Hilly Areas,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A25  Camote/Cassava,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A25  Camote/Cassava,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,A25  Camote/Cassava,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"Revenue Region No. 13, Cebu City",A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"Revenue District Office No. 82, Cebu City - South",A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,"Revenue District Office No. 82, Cebu City - South",A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Province                         : CEBU,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,Province                         : CEBU,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,City/Municipality           : CEBU CITY SOUTH,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,STREETS,V I C I N I T Y,nan,,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,CEBU VETERANS DRIVE,V I C I N I T Y,RR,4500.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,RURAL BARANGAY,V I C I N I T Y,RR**,,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,SITIO UPPER MALUBOG ROAD,V I C I N I T Y,RR,2396.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,ALL AREAS ALONG THE  ROAD -,V I C I N I T Y,CR***,5000.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,(Formerly Suburban Areas with Road),V I C I N I T Y,RR***,3374.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,(Formerly Suburban Areas with Road),V I C I N I T Y,A50*,2500.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,ALL INTERIOR AREAS -,V I C I N I T Y,RR***,2732.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,(Formerly Suburban Areas without Road),V I C I N I T Y,A50*,1750.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,ALL OTHER STREETS,V I C I N I T Y,RR**,0.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,ALL OTHER STREETS,V I C I N I T Y,A50**,0.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,ALL OTHER STREETS,V I C I N I T Y,nan,,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,SUBDIVISIONS,V I C I N I T Y,nan,,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,ALL SUBDIVISIONS -,V I C I N I T Y,RR***,9480.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,(Formerly All New Subdivision),SOCIALIZED / LOW COST,RR***,4572.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,(Formerly All New Subdivision),SOCIALIZED / LOW COST,nan,,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUMS,SOCIALIZED / LOW COST,nan,,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
UNKNOWN,UNKNOWN,UNKNOWN,17 STOREYS & UP,SOCIALIZED / LOW COST,CC*,105000.0,086-2023,2024-01-05 00,"RDO No. 82 - Cebu City, South.xls [Sheet 6 (DO 86-2023)]"
