Province,City,Barangay,Street_Subdivision,Vicinity,Classification,Zonal_Value,DO_No,Effectivity_Date,Source
UNKNOWN,UNKNOWN,UNKNOWN,"Inclusion (TRAIN)"" Law, amending Section 6 (E)  of National Internal Revenue Code (NIRC) of 1997, authorizes",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,the  Commissioner  to  divide   the  Philippines  into  different   zones  or areas and shall determine the fair,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"market value of real properties located in each zone or areas, subject to automatic adjustment once every",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,three (3) years.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,three (3) years.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"By  virtue  of  said authority,  the  Commissioner of Internal Revenue has determined  the zonal",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"values  of  real  properties  in  the Cities of Carcar, Naga, Toledo (2nd Revision) and Talisay (3rd Revision)",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"and the Municipalities of San Fernando (2nd Revision) and Minglanilla (3rd Revision) Province of Cebu, within the",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"jurisdiction  of Revenue District No. 83 –Talisay City, Cebu Revenue  Region  No. 13 – Cebu City,  after the  public",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"hearings on  April 20,26 and 28, 2022 were conducted for the purpose.  This  Order  is  issued  to  implement  the  Revised",nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,Schedule  of  Zonal  Values  of Real  Properties  for purposes of computing  any internal  revenue  tax due  on  sale/transfer,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,or any other disposition of real properties.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,or any other disposition of real properties.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,The zonal values established herein  shall  apply  provided   the  same  is  higher  than (1)  the,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,fair  market  value  as shown in the schedule of values of  the  provincial or city  assessor  and  (2) the gross,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,selling price/consideration as shown in the duly notarized document of sale or transfer of real property.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,selling price/consideration as shown in the duly notarized document of sale or transfer of real property.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,(original signed),,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,BENJAMIN E. DIOKNO,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,This Order shall take effect immediately.,nan,Secretary of Finance,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,RECOMMENDED BY:,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,RECOMMENDED BY:,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,RECOMMENDED BY:,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,(original signed),nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,LILIA CATRIS GUILLERMO,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,Commissioner of Internal Revenue,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,Commissioner of Internal Revenue,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,Commissioner of Internal Revenue,nan,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,RESIDENTIAL,LAND/CONDOMINIUM  PRINCIPALLY DEVOTED TO HABITATION.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,COMMERCIAL,LAND DEVOTED PRINCIPALLY TO COMMMERCIAL,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,COMMERCIAL,PURPOSES AND GENERALLY FOR THE OBJECT OF PROFIT.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,INDUSTRIAL,DEVOTED PRINCIPALLY TO INDUSTRY AS CAPITAL.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,"DEVOTED PRINCIPALLY TO RAISING OF CROP SUCH AS RICE,",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,"CORN, SUGARCANE, TOBACCO, ETC. OR TO PASTURING,",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,"INLAND FISHING, SALT-MAKING, AND OTHER AGRICULTURAL",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL,USES INCLUDING TIMBERLAND AND FOREST LAND.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,"RAWLAND, UNDEVELOPED AND UNDERDEVELOPED AREA",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,WHICH HAS POTENTIAL FOR DEVELOPMENT INTO,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,"RESIDENTIAL, COMMERCIAL, INDUSTRIAL, INSTITUTIONAL,",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,GENERAL PURPOSE,"ETC. MUST NOT BE LESS THAN 5,000 SQUARE METERS.",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUM,IS AN INTEREST IN REAL PROPERTY CONSISTING OF A SEPARATE,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUM,"INTERESTS IN A UNIT A RESIDENTIAL, INDUSTRIAL OR",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUM,COMMERCIAL BUILDING OR IN AN INDUSTRIAL ESTATE AND AN,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUM,"UNDIVIDED INTERESTS IN COMMON, DIRECTLY AND INDIRECTLY,",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUM,IN THE LAND OR THE APPURTENANT INTEREST OF THEIR,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CONDOMINIUM,RESPECTIVE UNITS IN THE COMMON AREAS.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,"MEANS AN AREA, LOCALITY, NEIGHBORHOOD OR DISTRICT",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,"ABOUT, NEAR, ADJACENT PROXIMATE OR CONTIGUOUS TO A",nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,STREET BEING LOCATED.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,VICINITY,STREET BEING LOCATED.,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,RR                     Residential Regular,GL                         Governmenrt Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CR                     Comemrcial Regular,GP                          General Purposes,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,RC                     Residential Condominium,I                             Industrial,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CC                     Commercial Condominium,X                           Institutional,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,CL                     Cemetery Lot,APD                      Area for Priority Development,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A                       Agricultural,PS                        Parking Slot,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,AGRICULTURAL LANDS,PS                        Parking Slot,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A1    Riceland Irrigated,A26  Bamboo Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A2    Riceland Unirrigated,A27  Peanut Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A3    Upland,A28  Soy beans Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A4    Coco Land,A29  Grape vineyard,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A5    Citrus Land,A30  Pepper Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A6    Fishpond,A31  Mineral Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A7    Swamp,A32  Non Metallic mineral Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A8    Nipa Land,A33  Coal Deposit,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A9    Cotton Land,A34  African Oil Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A10  Cogon,A35  Rubber Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A11  Abaca Land,A36  Forest Land/Timber Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A12  Orchard,A37  Horticultural Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A13  Pineapple Land,A38  Salt Beds,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A14  Banana Land,A39  Seashore,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A15  Pasture Land,A40  Resort,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A16  Corn Land,A41  Sandy/Stony,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A17  Sugar Land,A42  Prawn pond,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A18  Tobacco Land,A43  Sorghum,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A19  Cacao,A44  Ipil-ipil,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A20  Lanzones,A45  Kangkong,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A21  Durian,A46  Zarate,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A22  Rambutan,A47  Vegetable Land,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A23  Mango,A48  Coffee,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A24  Mangrove,A49  Mountainous / Hilly Areas,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,A25  Camote/Cassava,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"REVENUE REGION No. 13, CEBU CITY",A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"REVENUE DISTRICT OFFICE Office No. 83, TALISAY CITY",A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,"REVENUE DISTRICT OFFICE Office No. 83, TALISAY CITY",A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
UNKNOWN,UNKNOWN,UNKNOWN,PROVINCE                     : CEBU,A50  Other Agricultural Lands,nan,,UNKNOWN,UNKNOWN,"RDO No. 83 -Talisay City, CebuWeb.xls [Sheet 8(060-22)]"
