title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs
"Condo For Rent in Entrata Urban Complex, Spectrum Midway, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/fully-furnished-studio-unit-for-rent-at-entrata-urban-complex-ad-203-ln785176,"PHP 40,000/ month","Entrata Urban Complex, Spectrum Midway, Muntinlupa, Kalakhang Maynila, 1781",,32 m²,Studio,1,Available from 25 Aug,,01 Dec 16:59,Housing I.,"['PHP 40,000/ month', '/ month', 'Entrata Urban Complex, Spectrum Midway, Muntinlupa, Kalakhang Maynila, 1781', 'Bedrooms:', 'Studio', 'Area:', '32 m²', 'Bathrooms:', '1', 'Available from:', '25 Aug']"
"Condo For Rent in Avida Towers, Alabang–Zapote Road, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/modern-2br-unit-avida-towers-alabang-for-rent-ad-202-ln681275,"PHP 45,000/ month","Avida Towers, Alabang–Zapote Road, Muntinlupa, Metro Manila",,56 m²,2,2,Available from 31 May,,01 Dec 16:59,Housing I.,"['PHP 45,000/ month', '/ month', 'Avida Towers, Alabang–Zapote Road, Muntinlupa, Metro Manila', 'Bedrooms:', '2', 'Area:', '56 m²', 'Bathrooms:', '2', 'Available from:', '31 May']"
"Condo For Rent in 1124, Parkway Street, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/fully-furnished-studio-unit-for-rent-in-vivant-flats-ad-200-ln793226,"PHP 30,000/ month","1124, Parkway Street, Muntinlupa, Metro Manila",,30 m²,Studio,1,Available from 26 Sep,,01 Dec 16:59,Housing I.,"['PHP 30,000/ month', '/ month', '1124, Parkway Street, Muntinlupa, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '30 m²', 'Bathrooms:', '1', 'Available from:', '26 Sep']"
"Condo For Rent in 1124, Parkway Street, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/fully-furnished-1br-unit-for-rent-at-vivant-flats-ad-199-ln675451,"PHP 35,000/ month","1124, Parkway Street, Muntinlupa, Metro Manila",,33 m²,1,1,Available from 20 Apr,,01 Dec 16:59,Housing I.,"['PHP 35,000/ month', '/ month', '1124, Parkway Street, Muntinlupa, Metro Manila', 'Bedrooms:', '1', 'Area:', '33 m²', 'Bathrooms:', '1', 'Available from:', '20 Apr']"
"Condo For Rent in 1124, Parkway Street, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/a-semi-furnished-1br-condominium-unit-for-rent-at-vivant-flats-ad-198-ln686711,"PHP 44,000/ month","1124, Parkway Street, Muntinlupa, Metro Manila",,41 m²,1,1,Available from 3 May,,01 Dec 16:59,Housing I.,"['PHP 44,000/ month', '/ month', '1124, Parkway Street, Muntinlupa, Metro Manila', 'Bedrooms:', '1', 'Area:', '41 m²', 'Bathrooms:', '1', 'Available from:', '3 May']"
"House and Lot For Rent in Eulogio Amang Rodriguez Avenue, Pasig",https://lifenavi.com/ph/properties/pasig/for-rent/house-and-lot/3-bedroom-house-at-ciudad-del-mejia-ad-197-ln925743,"PHP 50,000/ month","Eulogio Amang Rodriguez Avenue, Pasig, Metro Manila, 1609",,136 m²,3,3,Available from 20 Jul,,01 Dec 16:59,Housing I.,"['PHP 50,000/ month', '/ month', 'Eulogio Amang Rodriguez Avenue, Pasig, Metro Manila, 1609', 'Bedrooms:', '3', 'Area:', '136 m²', 'Bathrooms:', '3', 'Available from:', '20 Jul']"
"House and Lot For Sale in Tagaytay City, Calabarzon",https://lifenavi.com/ph/properties/tagaytay-city/for-sale/house-and-lot/for-sale-bungalow-house-and-lot-in-tagaytagy-city-ad-196-ln661117,"PHP 14,000,000","Crossing East, Tagaytay City, Calabarzon",,121 m²,3,3,Available from 25 Sep,,01 Dec 16:59,Housing I.,"['PHP 14,000,000', 'Crossing East, Tagaytay City, Calabarzon', 'Bedrooms:', '3', 'Area:', '121 m²', 'Bathrooms:', '3', 'Available from:', '25 Sep']"
"Condo For Rent in 2016, 9th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2bedroom-w-maidsquarter-for-rent-in-one-uptown-residences-ad-195-ln354007,"PHP 60,000/ month","2016, 9th Avenue, Makati City, Metro Manila, 1634",,68.1 m²,2,1,Available from 29 May,,01 Dec 16:59,Housing I.,"['PHP 60,000/ month', '/ month', '2016, 9th Avenue, Makati City, Metro Manila, 1634', 'Bedrooms:', '2', 'Area:', '68.1 m²', 'Bathrooms:', '1', 'Available from:', '29 May']"
"House and Lot For Sale in 3, A. Dalisay, Parañaque",https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/semi-furnished-2-storey-5-bedroom-house-for-sale-in-bf-homes-paranaque-ad-194-ln586314,"PHP 36,400,000","3, A. Dalisay, Parañaque, Kalakhang Maynila, 1700",,325 m²,5+,5,Available from 31 Jan,,01 Dec 16:59,Housing I.,"['PHP 36,400,000', '3, A. Dalisay, Parañaque, Kalakhang Maynila, 1700', 'Bedrooms:', '5+', 'Area:', '325 m²', 'Bathrooms:', '5', 'Available from:', '31 Jan']"
"Condo For Rent in 8, Forbestown Road, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-penthouse-condo-unit-at-8-forbestown-road-ad-193-ln400905,"PHP 170,000/ month","8, Forbestown Road, Makati City, Metro Manila",,144 m²,3,2,Available from 1 May,,01 Dec 16:59,Housing I.,"['PHP 170,000/ month', '/ month', '8, Forbestown Road, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '144 m²', 'Bathrooms:', '2', 'Available from:', '1 May']"
"Condo For Rent in 308, Sen. Gil J. Puyat Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/a-fully-furnished-studio-type-condominium-unit-for-lease-at-the-lerato-tower-1-ad-192-ln273685,"PHP 30,000/ month","308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200",,32 m²,Studio,1,Available from 11 May,,01 Dec 16:59,Housing I.,"['PHP 30,000/ month', '/ month', '308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200', 'Bedrooms:', 'Studio', 'Area:', '32 m²', 'Bathrooms:', '1', 'Available from:', '11 May']"
"Condo For Rent in 1124, Parkway Street, Muntinlupa",https://lifenavi.com/ph/properties/muntinlupa/for-rent/condo/a-fully-furnished-2-bedroom-unit-for-rent-in-vivant-flats-ad-191-ln801435,"PHP 70,000/ month","1124, Parkway Street, Muntinlupa, Metro Manila",,80.81 m²,2,2,Available from 11 Oct,,01 Dec 16:59,Housing I.,"['PHP 70,000/ month', '/ month', '1124, Parkway Street, Muntinlupa, Metro Manila', 'Bedrooms:', '2', 'Area:', '80.81 m²', 'Bathrooms:', '2', 'Available from:', '11 Oct']"
"Condo For Sale in 8, Forbestown Road, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/2-bedroom-condo-unit-at-eight-forbestown-road-bgc-ad-190-ln341569,"PHP 25,600,000","8, Forbestown Road, Makati City, Metro Manila",,96.7 m²,2,1,Available from 16 Mar,,01 Dec 16:59,Housing I.,"['PHP 25,600,000', '8, Forbestown Road, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '96.7 m²', 'Bathrooms:', '1', 'Available from:', '16 Mar']"
"Condo For Sale in 8, Forbestown Road, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/for-salelease-2br-in-eight-forbestown-ad-189-ln406823,"PHP 32,000,000","8, Forbestown Road, Makati City, Metro Manila",,114 m²,2,2,Available from 8 May,,01 Dec 16:59,Housing I.,"['PHP 32,000,000', '8, Forbestown Road, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '114 m²', 'Bathrooms:', '2', 'Available from:', '8 May']"
"Condo For Sale in #2811, 26th Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/a-delightful-and-palatial-2br-condominium-for-sale-at-verve-residences-ad-187-ln539647,"PHP 27,750,000","#2811, 26th Street, Makati City, Metro Manila, 1630",,97 m²,2,1,Available from 15 Dec,,01 Dec 16:59,Housing I.,"['PHP 27,750,000', '#2811, 26th Street, Makati City, Metro Manila, 1630', 'Bedrooms:', '2', 'Area:', '97 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']"
"House and Lot For Sale in Muntinlupa, Metro Manila",https://lifenavi.com/ph/properties/muntinlupa/for-sale/house-and-lot/2-story-house-and-lot-for-sale-in-ayala-alabang-village-ad-186-ln248306,"PHP 200,000,000","Muntinlupa, Metro Manila",,00 m²,4,4,Available from 28 Mar,,01 Dec 16:59,Housing I.,"['PHP 200,000,000', 'Muntinlupa, Metro Manila', 'Bedrooms:', '4', 'Area:', '00 m²', 'Bathrooms:', '4', 'Available from:', '28 Mar']"
"Condo For Rent in corner, 2nd Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/a-fully-furnished-3-bedroom-unit-for-rent-in-the-fort-residences-ad-185-ln267873,"PHP 130,000/ month","corner, 2nd Avenue, Taguig, Kalakhang Maynila, 1630",,121 m²,3,3,Available from 1 Oct,,01 Dec 16:59,Housing I.,"['PHP 130,000/ month', '/ month', 'corner, 2nd Avenue, Taguig, Kalakhang Maynila, 1630', 'Bedrooms:', '3', 'Area:', '121 m²', 'Bathrooms:', '3', 'Available from:', '1 Oct']"
"Condo For Rent in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-rent/condo/1-bedroom-condo-for-rent-in-taguig-ad-184-ln414531,"PHP 75,000/ month","Taguig, Metro Manila",,70 m²,1,1,Available from 24 Apr,,01 Dec 16:58,Housing I.,"['PHP 75,000/ month', '/ month', 'Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '70 m²', 'Bathrooms:', '1', 'Available from:', '24 Apr']"
"Condo For Rent in 6821, Ayala Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-studio-unit-for-rent-in-the-columns-ayala-ad-183-ln989442,"PHP 35,000/ month","6821, Ayala Avenue, Makati City, Metro Manila",,40 m²,Studio,1,Available from 2 May,,01 Dec 16:58,Housing I.,"['PHP 35,000/ month', '/ month', '6821, Ayala Avenue, Makati City, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '40 m²', 'Bathrooms:', '1', 'Available from:', '2 May']"
"Condo For Sale in 1630, Florence Way, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/unfurnished-2-bedroom-for-sale-in-viceroy-residences-ad-182-ln215103,"PHP 7,000,000","1630, Florence Way, Taguig, Metro Manila",,59 m²,2,1,Available from 7 Apr,,01 Dec 16:58,Housing I.,"['PHP 7,000,000', '1630, Florence Way, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '59 m²', 'Bathrooms:', '1', 'Available from:', '7 Apr']"
"Condo For Rent in 26th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-studio-unit-for-rent-at-two-maridien-ad-181-ln332823,"PHP 30,000/ month","26th Street, Taguig, Metro Manila",,36 m²,Studio,1,Available from 16 Mar,,01 Dec 16:58,Housing I.,"['PHP 30,000/ month', '/ month', '26th Street, Taguig, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '36 m²', 'Bathrooms:', '1', 'Available from:', '16 Mar']"
"Condo For Rent in 1634, McKinley Parkway, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/brand-new-semi-furnished-3-bedroom-unit-for-rent-in-two-serendra-ad-180-ln621104,"PHP 150,000/ month","1634, McKinley Parkway, Taguig, Metro Manila",,150 m²,3,1,Available from 17 Oct,,01 Dec 16:58,Housing I.,"['PHP 150,000/ month', '/ month', '1634, McKinley Parkway, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '150 m²', 'Bathrooms:', '1', 'Available from:', '17 Oct']"
"Condo For Sale in Calamba, Calabarzon",https://lifenavi.com/ph/properties/calamba/for-sale/condo/semi-furnished-studio-unit-for-sale-in-amaia-steps-parkway-nuvali-ad-179-ln349906,"PHP 4,800,000","Calamba, Calabarzon, 4027",,38 m²,Studio,1,Available from 2 May,,01 Dec 16:58,Housing I.,"['PHP 4,800,000', 'Calamba, Calabarzon, 4027', 'Bedrooms:', 'Studio', 'Area:', '38 m²', 'Bathrooms:', '1', 'Available from:', '2 May']"
"Condo For Rent in 1, 8th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-rent-1br-uptown-parksuites-bgc-ad-178-ln525119,"PHP 48,000/ month","1, 8th Avenue, Makati City, Metro Manila",,37 m²,1,1,Available from 3 May,,01 Dec 16:58,Housing I.,"['PHP 48,000/ month', '/ month', '1, 8th Avenue, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '37 m²', 'Bathrooms:', '1', 'Available from:', '3 May']"
"Condo For Rent in 1554, Sheridan, Mandaluyong City",https://lifenavi.com/ph/properties/mandaluyong-city/for-rent/condo/fully-furnished-2br-unit-for-rent-in-sheridan-towers-ad-177-ln527882,"PHP 35,000/ month","1554, Sheridan, Mandaluyong City, Metro Manila",,56 m²,2,1,Available from 14 Sep,,01 Dec 16:58,Housing I.,"['PHP 35,000/ month', '/ month', '1554, Sheridan, Mandaluyong City, Metro Manila', 'Bedrooms:', '2', 'Area:', '56 m²', 'Bathrooms:', '1', 'Available from:', '14 Sep']"
"Condo For Sale in 4419, Old Sta. Mesa Street, Manila",https://lifenavi.com/ph/properties/manila/for-sale/condo/studio-unit-for-sale-in-covent-garden-ad-176-ln324693,"PHP 2,700,000","4419, Old Sta. Mesa Street, Santa Mesa, Manila, Metro Manila",,23 m²,Studio,1,Available from 22 May,,01 Dec 16:58,Housing I.,"['PHP 2,700,000', '4419, Old Sta. Mesa Street, Santa Mesa, Manila, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '23 m²', 'Bathrooms:', '1', 'Available from:', '22 May']"
"Condo For Sale in 613, Lee, Mandaluyong City",https://lifenavi.com/ph/properties/mandaluyong-city/for-sale/condo/a-unfurnished-2-br-for-sale-in-lee-gardens-ad-175-ln198154,"PHP 9,900,000","613, Lee, Mandaluyong City, Kalakhang Maynila, 1550",,84 m²,2,2,Available from 6 Jun,,01 Dec 16:58,Housing I.,"['PHP 9,900,000', '613, Lee, Mandaluyong City, Kalakhang Maynila, 1550', 'Bedrooms:', '2', 'Area:', '84 m²', 'Bathrooms:', '2', 'Available from:', '6 Jun']"
"Condo For Rent in Dela Rosa Access Road 3, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-in-kroma-tower-for-rent-ad-174-ln307175,"PHP 85,000/ month","Dela Rosa Access Road 3, Makati City, Metro Manila",,93 m²,2,2,Available from 14 Mar,,01 Dec 16:58,Housing I.,"['PHP 85,000/ month', '/ month', 'Dela Rosa Access Road 3, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '93 m²', 'Bathrooms:', '2', 'Available from:', '14 Mar']"
"Condo For Sale in 308, Sen. Gil J. Puyat Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/a-fully-furnished-1-studio-unit-for-sale-in-lerato-ad-173-ln809490,"PHP 8,500,000","308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200",,31 m²,Studio,1,Available from 11 May,,01 Dec 16:58,Housing I.,"['PHP 8,500,000', '308, Sen. Gil J. Puyat Avenue, Makati City, Metro Manila, 1200', 'Bedrooms:', 'Studio', 'Area:', '31 m²', 'Bathrooms:', '1', 'Available from:', '11 May']"
"House and Lot For Sale in 8130, Ina ng Laging Saklolo, Parañaque",https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/paranaque-house-lot-for-sale-ad-171-ln163430,"PHP 6,500,000","8130, Ina ng Laging Saklolo, San Antonio, Parañaque, Metro Manila, 1702",,160 m²,3,2,Available from 25 Apr,,01 Dec 16:58,Housing I.,"['PHP 6,500,000', '8130, Ina ng Laging Saklolo, San Antonio, Parañaque, Metro Manila, 1702', 'Bedrooms:', '3', 'Area:', '160 m²', 'Bathrooms:', '2', 'Available from:', '25 Apr']"
"Condo For Rent in 1, Burgos Circle, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/an-elegant-and-spacious-1br-condominium-for-rent-at-bellagio-1-ad-170-ln611429,"PHP 65,000/ month","1, Burgos Circle, Makati City, Metro Manila, 1634",,61 m²,1,1,Available from 4 May,,01 Dec 16:58,Housing I.,"['PHP 65,000/ month', '/ month', '1, Burgos Circle, Makati City, Metro Manila, 1634', 'Bedrooms:', '1', 'Area:', '61 m²', 'Bathrooms:', '1', 'Available from:', '4 May']"
"Condo For Rent in 1, Burgos Circle, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/a-delightful-and-palatial-1br-condominium-at-bellagio-one-ad-169-ln559754,"PHP 65,000/ month","1, Burgos Circle, Makati City, Metro Manila, 1634",,61 m²,1,1,Available from 4 May,,01 Dec 16:58,Housing I.,"['PHP 65,000/ month', '/ month', '1, Burgos Circle, Makati City, Metro Manila, 1634', 'Bedrooms:', '1', 'Area:', '61 m²', 'Bathrooms:', '1', 'Available from:', '4 May']"
"Condo For Rent in 1, Burgos Circle, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/a-delightful-and-palatial-1br-condominium-for-rent-at-bellagio-one-ad-168-ln993370,"PHP 35,000/ month","1, Burgos Circle, Makati City, Metro Manila, 1634",,43 m²,1,1,Available from 13 Apr,,01 Dec 16:58,Housing I.,"['PHP 35,000/ month', '/ month', '1, Burgos Circle, Makati City, Metro Manila, 1634', 'Bedrooms:', '1', 'Area:', '43 m²', 'Bathrooms:', '1', 'Available from:', '13 Apr']"
"Condo For Rent in 107, Mayflower Street, Mandaluyong City",https://lifenavi.com/ph/properties/mandaluyong-city/for-rent/condo/fully-furnished-2br-unit-with-balcony-at-soho-central-private-residences-ad-167-ln892648,"PHP 30,000/ month","107, Mayflower Street, Mandaluyong City, Metro Manila, 1554",,51 m²,2,1,Available from 9 Oct,,01 Dec 16:58,Housing I.,"['PHP 30,000/ month', '/ month', '107, Mayflower Street, Mandaluyong City, Metro Manila, 1554', 'Bedrooms:', '2', 'Area:', '51 m²', 'Bathrooms:', '1', 'Available from:', '9 Oct']"
"Condo For Rent in Burgos Circle, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/a-fancy-1br-unit-for-rent-at-bellagio-3-ad-166-ln517710,"PHP 50,000/ month","Burgos Circle, Taguig, Metro Manila",,60 m²,1,1,Available from 14 Apr,,01 Dec 16:58,Housing I.,"['PHP 50,000/ month', '/ month', 'Burgos Circle, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '60 m²', 'Bathrooms:', '1', 'Available from:', '14 Apr']"
"Condo For Rent in Burgos Circle, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/for-lease-1br-loft-style-in-bellagio-three-ad-165-ln570641,"PHP 75,000/ month","Burgos Circle, Taguig, Metro Manila",,60 m²,1,1,Available from 6 Sep,,01 Dec 16:58,Housing I.,"['PHP 75,000/ month', '/ month', 'Burgos Circle, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '60 m²', 'Bathrooms:', '1', 'Available from:', '6 Sep']"
"House and Lot For Sale in Silang, Calabarzon",https://lifenavi.com/ph/properties/silang/for-sale/house-and-lot/for-sale-8br-house-and-lot-in-south-forbes-ad-164-ln191465,"PHP 68,000,000","Silang, Calabarzon",,765 m²,5+,6+,Available from 15 Mar,,01 Dec 16:58,Housing I.,"['PHP 68,000,000', 'Silang, Calabarzon', 'Bedrooms:', '5+', 'Area:', '765 m²', 'Bathrooms:', '6+', 'Available from:', '15 Mar']"
"Condo For Sale in Burgos Circle, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/fully-furnished-1br-unit-for-rent-at-bellagio-three-ad-163-ln398657,"PHP 12,500,000","Burgos Circle, Taguig, Metro Manila",,59.5 m²,1,1,Available from 20 Mar,,01 Dec 16:58,Housing I.,"['PHP 12,500,000', 'Burgos Circle, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '59.5 m²', 'Bathrooms:', '1', 'Available from:', '20 Mar']"
"House and Lot For Sale in Amadeo, Calabarzon",https://lifenavi.com/ph/properties/amadeo/for-sale/house-and-lot/a-beautiful-farm-resort-for-sale-in-amadeo-ad-162-ln730021,"PHP 46,500,000","Amadeo, Calabarzon",,00 m²,3,3,Available from 31 Mar,,01 Dec 16:58,Housing I.,"['PHP 46,500,000', 'Amadeo, Calabarzon', 'Bedrooms:', '3', 'Area:', '00 m²', 'Bathrooms:', '3', 'Available from:', '31 Mar']"
"Condo For Rent in 30th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-2-bedroom-in-blue-sapphire-residences-ad-161-ln120928,"PHP 70,000/ month","30th Street, Taguig, Metro Manila",,80 m²,2,1,Available from 31 Aug,,01 Dec 16:58,Housing I.,"['PHP 70,000/ month', '/ month', '30th Street, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '80 m²', 'Bathrooms:', '1', 'Available from:', '31 Aug']"
"Condo For Sale in #2811, 26th Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/a-studio-condo-unit-for-sale-in-verve-residences-ad-160-ln540068,"PHP 9,000,000","#2811, 26th Street, Makati City, Metro Manila, 1630",,37 m²,Studio,1,Available from 20 Apr,,01 Dec 16:57,Housing I.,"['PHP 9,000,000', '#2811, 26th Street, Makati City, Metro Manila, 1630', 'Bedrooms:', 'Studio', 'Area:', '37 m²', 'Bathrooms:', '1', 'Available from:', '20 Apr']"
"Condo For Sale in corner, 28th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/fully-furnished-3-bedroom-unit-for-sale-in-east-gallery-place-ad-159-ln677148,"PHP 80,000,000","corner, 28th Street, Taguig, Metro Manila",,208 m²,3,2,Available from 13 Mar,,01 Dec 16:57,Housing I.,"['PHP 80,000,000', 'corner, 28th Street, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '208 m²', 'Bathrooms:', '2', 'Available from:', '13 Mar']"
