title,price,location,description,link
"1BR CONDOMINIUM FOR SALE IN THE EXCHANGE REGENCY, PASIG","PHP 3,480,000","Jade Dr, Ortigas Center, Pasig, 1605 Metro Manila",1BR,
"1BR CONDOMINIUM FOR SALE IN THE GRAMERCY RESIDENCES, MAKATI","PHP 8,300,000",Makati,"An unfurnished 1 bedroom condominium unit for sale in The Gramercy Residences, Makati with a floor area of 46.06 SQM priced at Php 8,300,000 plus VAT.",
"3BR CONDOMINIUM FOR SALE IN AURELIA RESIDENCES, TAGUIG","PHP 210,000,000",Taguig,"- 3 Bedrooms - 2 Car garage - Semi furnished - Views of Manila Golf and Manila Polo Club - Located below the penthouse floors - With private lift lobby, - With balcony - Floor area: 280 SQM - Price: Php 210,000,000",
"9.7 HECTARES - STO. TOMAS, BATANGAS","PHP 581,196,000","President Laurel Highway, Sto. Tomas, Batangas",Raw land,
"1BR CONDOMINIUM FOR SALE IN SHANG SALCEDO PLACE, MAKATI","PHP 18,700,000",Makati,"A furnished 1 bedroom condominium for Sale in Shang Salcedo Place, Makati with a floor area of 52.32 SQM, priced at Php 18,700,000. This unit has a balcony with 180 degree unobstructed view, 1 toilet and bath, and 1 parking space.",
"1BR CONDOMINIUM FOR SALE IN OAK HARBOR RESIDENCES, PARANAQUE","PHP 15,902,368","Marina Bay, Jackson Avenue, Paranaque",1 Bedroom,
"2BR CONDOMINIUM FOR SALE IN TUSCANY PRIVATE ESTATE, TAGUIG","PHP 17,632,000","Upper McKinley Road, McKinley Hill, Fort Bonifacio, Taguig City","2nd Floor, Tower 4 (Divo) 2 Bedrooms with balcony and 1 parking slot.",
1.2 HAS LOT FOR SALE IN DAVAO CITY,"PHP 1,215,700,000","Maryknoll Drive, Brgy. Pampanga, Davao City","12,157 sqm. Maryknoll Drive",
310 SANTOLAN,"PHP 45,370,000","310 Bonny Serrano Ave., Little Baguio, San Juan",Santolan Road (Bonny Serrano Avenue),
CENTRO SALCEDO ST. MAKATI,"PHP 1,527,600,000","180 Salcedo Street, Legaspi Village, Makati",Vacant Lot on Salcedo St. Makati,
"2 BEDROOMS COMBINED UNITS FOR SALE IN VICEROY CONDOMINIUM, MCKINLEY","PHP 11,420,000","Mckinley Hill, Fort Bonifacio",2BR Combined Unit with parking,
"1BR CONDOMINIUM FOR SALE IN TIME SQUARE WEST, TAGUIG","PHP 10,170,000",Taguig,"A furnished 1 bedroom condominium unit with 1 parking space for sale in Time Square West, Taguig. This property has a floor area of 39 SQM, priced at Php 10,170,000.",
"3BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, ACACIA ESTATES, TAGUIG","PHP 6,080,000","Acacia Estate, Ivory Tower, Rosewood Pointe Levi B. Mariano Ave, Taguig, Metro Manila",3BR with drying cage,
"LOT FOR SALE - 627 SQM - BRGY. CARMONA, MAKATI",125000,"H. Santos Street, Carmona, Makati",Vacant Lot,
UNIT 14A - RUFINO PACIFIC TOWER - OFFICE UNIT FOR SALE (214 SQM),"PHP 42,000,000","Rufino Pacific Tower, Ayala Avenue corner V.A. Rufino, Makati City",Unit 14F - Rufino Pacific Tower - Office Unit for Sale (214 sqm),
"LOT FOR SALE IN MAHOGANY PLACE 1, TAGUIG","PHP 21,300,000",Taguig,Lot Area: 142 SQM,
6.4 HA LUMBIA PROPERTY FOR SALE IN CDO,"PHP 24,876,005","Lumbia, Cagayan De Oro",,
NBS QUEZON AVENUE,"PHP 2,299,999,730","Quezon Avenue, Quezon City",Commercial Property,
"STUDIO FOR SALE IN THE LERATO TOWER 2, MAKATI","PHP 5,900,000","7232 Malugay, Brgy, Makati, Kalakhang Maynila",Studio,
"3BR CONDOMINIUM FOR SALE IN HORIZON HOMES, BGC, TAGUIG CITY","PHP 310,000,000","3rd Ave. cor. 30th St. Bonifacio Global City, Taguig City",3 Bedroom with Family Room,
PRIME 1.4 HECTARE COMMERCIAL LOT IN LEGAZPI CITY,"PHP 1,022,000,000","Imedla Roces Avenue (Tahao Road), Legazpi City, Albay",Vacant Lot,
BANILAD CEBU PROPERTY FOR SALE,"PHP 2,400,000,000","Governor M. Cuenco Avenue, Barangay Kasambagan, Cebu City.",Aboitiz Land Corporate Center in Cebu,
"2BR CONDOMINIUM FOR SALE IN MARICIELO VILLAS MADRID BLDG, LAS PIÑAS","PHP 4,480,000","Quirino Avenue, Casimiro Ave, Las Piñas, 1740 Metro Manila",2 Bedroom with balcony,
1687 SQM LOT FOR SALE IN QUEZON CITY,296558400,"Sto. Tomas St., Quezon City","1,600 sqm. commercial land",
314-SQM OFFICE UNIT IN SALCEDO VILLAGE,"P145,000","The Peak Tower, L.P. Leviste St., Salcedo Village, Makati",Units 2101 and 2102,
"1 BEDROOM WITH BALCONY FOR SALE ELIZABETH PLACE, MAKATI","PHP 15,200,000","332 Sen. Gil J. Puyat Ave, Makati, Metro Manila",1BR with balcony,
1330 ROXASBOULEVARD,"PHP 1,772,655,000",1330 Roxas Boulevard,Vacant Lot,
PRIME COMMERCIAL PROPERTY FOR SALE IN NOVALICHES QC,89500,"Quirino Highway corner Sarmiento St., Novaliches Quezon City",Prime Corner Lot Ideal for Commercial and Residential Development,
"STUDIO FOR SALE IN THE LERATO TOWER 1, MAKATI","PHP 5,900,000","7232 Malugay, Brgy, Makati, Kalakhang Maynila",Studio,
"2 HECTARE CBD LOT , NAGA CITY","PHP 711,165,000","CBD 2 Barrio Triangulo, Naga City, Camarines Sur",Vacant Lot,
"5BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 120,000,000","Ayala Alabang Village, Muntinlupa",2 storey house with attic,
HOUSE AND LOT FOR SALE INSIDE AYALA ALABANG,"PHP 250,000,000","Country Club Drive, Ayala Alabang",House and Lot for sale inside Ayala Alabang,
"9.4 HA BEACHFRONT PROPERTY FOR SALE IN SAN VICENTE, PALAWAN","PHP 942,650,000","Teed, Brgy. New Canipo, San Vicente, Palawan","9.4-hectare beachfront property located in Brgy. New Canipo, San Vicente, Palawan. This offering features a 283-meter beachfront with a 260-meter road frontage.",
"2BR CONDOMINIUM FOR SALE IN CBY TOWER, BINONDO, MANILA","PHP 9,636,000","Binondo, Manila",2 Bedrooms with balcony,
FELINA CORPORATE PLAZA EASTWOOD,"PHP 1,400,000,000","Strategically located in the heart of Eastwood City, Quezon City, Felina Corporate Plaza is a modern 12-storey, PEZA-accredited boutique office building developed by Felina Properties Inc. Designed to foster creativity and collaboration, it offers state-of-the-art amenities and a prime address for businesses, particularly those in the BPO sector. Tenants benefit from its integration within the vibrant live-work-play community of Eastwood, providing unparalleled access to a wide array of dining, retail, and lifestyle conveniences right at their doorstep.","Strategically located in the heart of Eastwood City, Quezon City, Felina Corporate Plaza is a modern 12-storey, PEZA-accredited boutique office building developed by Felina Properties Inc. Designed to foster creativity and collaboration, it offers state-of-the-art amenities and a prime address for businesses, particularly those in the BPO sector. Tenants benefit from its integration within the vibrant live-work-play community of Eastwood, providing unparalleled access to a wide array of dining, retail, and lifestyle conveniences right at their doorstep.",
"RESIDENTIAL / COMMERCIAL PROPERTY FOR SALE IN POBLACION, MAKATI","PHP 142,000,000","Poblacion, Makati",3 Storey Bldg.,
TROPICAL PALMS,"PHP 23,000,000",dela Rosa St Legazpi Village Makati,2 BR condominium,
"2 BEDROOMS WITH BALCONY FOR SALE IN ADMIRAL SUITES, MANILA","PHP 25,000,000","2138 Roxas Blvd, Malate, Manila, 1004 Metro Manila",2BR with balcony,
"2,076 SQM. MANOC MANOC, BORACAY LOT FOR SALE","PHP 36,165,611","Brgy. Manoc Manoc, Malay, Aklan","Vacant 2,076 sqm. lot in Manoc Manoc, Boracay",
"81.7 HA BEACHFRONT PROPERTY FOR SALE IN STA. CRUZ, DAVAO","PHP 381,008,400","Astorga, Sta. Cruz, Davao",81.7 HA Land,
"WESTBOROUGH TOWN CENTER (2,109 SQM.)","PHP 337,440,000","Westborough Town Center, Inchican, Silang, Cavite",Westborough Town Center,
LARGE CALOOCAN PROPERTY FOR SALE,"PHP 1,184,880,000","Dagat Dagatan Avenue, Caloocan City","9,874 sqms of land located strategically near ports, and major highways.",
"6.5 HAS BILAR, BOHOL","PHP 73,529,412","Bilar, Bohol","65,000 sqm.",
BLUE RIDGE A CORNER LOT WITH OLD HOUSE FOR SALE ALONG KATIPUNAN AVE. QUEZON CITY,"PHP 200,000,000","R. Matanda cor. Katipunan Ave. Project 4, Lungsod Quezon City",Corner Lot with old house,
"46 HECTARES - SAN FRANCISCO, LIPA, BATANGAS","PHP 1,841,000,000","San Francisco, Lipa, Batangas","46 has property in Lipa, Batangas",
"3BR HOUSE AND LOT FOR SALE IN GREENWOODS EXECUTIVE VILLAGE, TAYTAY, RIZAL","PHP 24,000,000","Taytay, Rizal","A semi-furnished 3 bedroom house and lot for sale in Greenwoods Executive Village, Taytay, Rizal with a lot area of 150 SQM and a floor area of 276 SQM, priced at Php 24,000,000. This 2 storey property has 1 covered car garage and 2 open parking, a spacious veranda connecting to all bedrooms, family room, maid's room, dirty kitchen, swimming pool with lounge and pump room.",
"1 BEDROOM FOR SALE IN KNIGHTSBRIDGE RESIDENCES, MAKATI CITY","PHP 8,010,000","A. Spring St. cor Valdez St., Poblacion, Makati City",1BR,
"3BR CONDOMINIUM FOR SALE IN PROSCENIUM AT ROCKWELL, MAKATI","PHP 90,000,000",Makati City,3 Bedrooms with 2 Parking slots,
"REGALADO HIGHWAY PROPERTY, QUEZON CITY","PHP 68,000,000","Regalado Highway, North Fairview, Quezon City",Regalado Highway Property,
"4BR HOUSE AND LOT FOR SALE IN WHITE PLAINS, QUEZON CITY","PHP 295,000,000",Quezon City,4-storey house with 360 degree roof deck. 3 Bedrooms with Guest room. With swimming pool and elevator. Separate maid's and driver's room with staff lounge.,
LAMAYAN STA. ANA PROPERTY FOR SALE,"PHP 181,600,000","Lamayan St., Sta. Ana Manila","Vacant lot along Lamayan St., Sta. Ana Manila",
"2 BEDROOMS FOR SALE IN FLAIR TOWERS CONDOMINIUM NORTH TOWER, MANDALUYONG","PHP 7,800,000","Reliance, Pines, Mandaluyong, 1550 Metro Manila",2BR,
8.3 HECTARE LOT TANAUAN (2KM FROM EXIT),"PHP 332,376,000","Natatas Road, Tanauan Batangas",Lot with Old Resthouse Structure,
"6BR HOUSE FOR SALE IN BAYVIEW VILLAGE, PARANAQUE","PHP 179,999,730","Brgy. Tambo, Paranaque City","2-storey house with 6 bedrooms, den and multi-purpose room 2 kitchens and 2 parking slots",
"DASMARIÑAS, PALIPARAN FOR SALE","PHP 466,925,000","Paliparan Road, Dasmarinas Cavite","Vacant land along Paliparan Road, Dasmarinas Cavite",
"2BR CONDOMINIUM FOR SALE IN CEDAR CREST, TAGUIG","PHP 7,095,000",Taguig,"- 2 Bedrooms - 1 Toilet and bath - With drying area - Floor area: 64.5 SQM - Price: Php 7,095,000",
"STUDIO CONDOMINIUM FOR SALE IN THE GROVE BY ROCKWELL, PASIG CITY","PHP 8,700,000","Brgy. Ugong, Pasig City",Studio unit with balcony,
"3 BEDROOMS FOR SALE IN AURELIA RESIDENCES, TAGUIG","PHP 169,000,000","5th Ave, Cor McKinley Pkwy, Taguig",3BR,
THE PEAK TOWER - 8TH FLOOR,"PHP 124,600,000","107 L.P. Leviste Street, Makati, 1227 Metro Manila",The Peak Tower office units,
"LEGARDA RD., BAGUIO CITY HOTEL FOR SALE","PHP 1,572,945,000","Legarda Road, Baguio City",Hotel Property,
"DUPLEX HOUSE FOR SALE IN SAN LORENZO VILLAGE, MAKATI CITY","PHP 295,000,000","San Lorenzo Village, Barangay San Lorenzo, Makati City",Duplex House,
NEOPOLITAN BUSINESS PARK COMMERCIAL LOT FOR SALE,"PHP 138,000,000","B2 L12 Neopolitan Business Park, Novaliches, Quezon City",Commercial lot,
"5BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 420,000,000","Ayala Alabang Village, Muntinlupa City",5 Bedrooms with den and family room,
"45,000 SQM PROPERTY ALONG GOVERNOR'S DRIVE - BCPI","PHP 1,395,000,000","Carmona, Cavite","45,000 sqm property with 27,000 sqm of structure and 245m Frontage along Governor's Drive,",
"C. ALVAREZ ST., NASUGBU, BATANGAS","PHP 17,711,991","C. Alvarez St., Nasugbu, Batangas",Vacant Lot,
CONDO FOR SALE - ESSENSA EAST FORBES,"PHP 95,000,000","21st Drive cor. 5th Avenue, BGC, Taguig",along 21st Drive cor. 5th Avenue,
"1,061 SQM PRIME PROPERTY FOR SALE IN MAKATI CBD","PHP 1,580,212,766","839 Arnaiz Ave., Legazpi Village, Makati","1,061 sqm Land for Sale - Makati CBD",
BGC LOT FOR SALE,"PHP 4,200,000,000","Block 3 Lot 6, 11th Avenue Bonifacio Global City, Taguig","Vacant Lot on 11th Ave., BGC",
NEOPOLITAN BUSINESS PARK COMMERCIAL LOT FOR SALE,"PHP 134,000,000","B2 L7 Neopolitan Business Park, Novaliches, Quezon City",Commercial lot,
3BR GARDEN UNIT IN TWO ROXAS TRIANGLE,"PHP 133,928,569.72","Two Roxas Triangle, Cruzada St., Makati",3BR Garden Unit,
"2BR CONDOMINIUM FOR SALE IN THE RESIDENCES AT GREENBELT, MAKATI","PHP 69,250,000",Makati,"An unfurnished 2 bedroom condominium unit with 4 parking spaces for sale in The Residences at Greenbelt, Makati with a floor area of 182 SQM. This unit is priced at Php 69,250,000.",
BACOOR PROPERTY FOR SALE,PHP NAN,"Molino Boulevard, Bacoor, Cavite","100,000 sqm lot",
"1,695 SQM LAND FOR SALE - N. DOMINGO, QC","PHP 324,574,465.2","N. Domingo St., Quezon City","1,695 Sqm Land for Sale - N. Domingo, QC",
"2 BEDROOMS WITH BALCONY IN ONE CENTRAL CONDOMINIUM, MAKATI","PHP 13,200,000","Salcedo Village, corner of H.V. dela Costa and Geronimo Streets, Salcedo, Makati, 1227",2BR with balcony,
2BR CONDOMINIUM FOR SALE IN MCKINLEY PARK RESIDENCES TAGUIG,"PHP 12,500,000",Taguig,"- 2 Bedrooms - 2 Toilet and bath - Loft type - Price: Php 12,500,000",
"4512 SQM VILLA FOR SALE IN GUINDULMAN, BOHOL","PHP 175,714,924","Brgy. Basdio, Guindulman, Bohol","4,512 sqm. operational resort villa",
"3BR TOWNHOUSE FOR SALE IN PROJECT 4, QUEZON CITY","PHP 11,900,000","Project 4, Quezon City",3-Storey townhouse,
"2BR CONDOMINIUM FOR SALE IN ONE EASTWOOD AVENUE, QUEZON CITY","PHP 14,000,000",Quezon City,"An unfurnished 2 bedroom condominium unit for sale in One Eastwood Avenue, Quezon City with a floor area of 69 SQM, priced at Php 14,000,000 plus VAT.",
BPI-PHILAM LIFE MAKATI,"PHP 296,010,000",6788 Ayala Avenue (BPI-Philam Life Makati),Office Condominium,
"3 BEDROOM HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 238,000,000","Ayala Alabang Village, Barangay Ayala Alabang, Muntinlupa City",3BR and 6 parking,
2BR CONDOMINIUM FOR SALE IN MAKATI TUSCANY,"PHP 30,000,000","Ayala Ave, Makati",2 Bedrooms with 1 parking,
"1 BEDROOM FOR SALE IN STAMFORD EXECUTIVE RESIDENCES TOWER 2, TAGUIG","PHP 7,650,000","Florence Way, Upper McKinley Hl, Taguig, 1634 Metro Manila",1 Bedroom,
"2BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, IVORY BLDG, TAGUIG","PHP 4,560,000","Acacia Estate, Ivory Tower, Rosewood Pointe Levi B. Mariano Ave, Taguig, Metro Manila",2BR with balcony,
"3BR CONDOMINIUM FOR SALE IN TWO ROXAS TRIANGLE, MAKATI","PHP 203,027,119.94",Makati,"A 3 bedroom condominium unit for sale in Two Roxas Triangle, Makati with a floor area of 374 SQM. This unit has 3 parking spaces, amenity floor, a private garden, utility kitchen & maid's room with separate entrance, a walk-in closet in the Master's bedroom, and ensuite bathrooms. This unit is priced at Php PHP 203,571,428.57 plus VAT.",
3 BR FOR SALE IN SHANG GRAND MAKATI,"PHP 75,000,000",dela Rosa St Legazpi Village Makati,3 BR + den,
"1BR CONDOMINIUM FOR SALE IN THE RISE, MAKATI","PHP 5,600,000",Makati,"A furnished 1 bedroom condominium unit for sale in The Rise, Makati with a floor area of 28 SQM priced at Php 5,600,000 plus VAT.",
VACANT LAND IN SAN ANTONIO VILLAGE PARANAQUE,"PHP 454,885,101","San Antonio Village, Sucat Paranaque",Vacant land in San Antonio Village Paranaque,
"2BR CONDOMINIUM FOR SALE IN MAKATI TUSCANY, MAKATI","PHP 35,000,000","6751 Ayala Ave, Makati",2 Bedroom with balcony and parking,
"1BR CONDOMINIUM FOR SALE IN THE GRAMERCY RESIDENCES, MAKATI","PHP 10,150,000",Makati,"An unfurnished condominium unit for sale in The Gramercy Residences, Makati with a floor area of 43.42 SQM priced at Php 10,150,000 plus VAT.",
GCIC PET PLANS,"PHP 350,000,000","Pet Plans Tower, 444 EDSA, Makati City",School/Office Space for sale,
BROADWAY AVENUE PROPERTY,"PHP 390,080,000","Broadway Avenue, Barangay Mariana, Quezon City","Vacant Lot on Broadway Ave., QC",
"1BR CONDOMINIUM FOR SALE IN THE RESIDENCES AT GREENBELT, MAKATI","PHP 22,000,000",Makati,"A furnished 1 bedroom condominium unit with 1 parking space for sale in The Residences at Greenbelt, Makati with a floor area of 68 SQM. This unit is priced at Php 22,000,000, and is also available for rent at Php 80,000 per month.",
3BR H&L - ENCLAVE ALABANG,"PHP 168,000,000","York Street, Enclave Alabang, Daang Hari Road",3BR H&L - Enclave Alabang,
356 SQM PROPERTY FOR SALE IN GENERAL SANTOS,"PHP 45,000,000","Corner Santol & Balimbing street 1261 Santol General Santos City, South Cotabato, Philippines",A Boutique hotel in center of the city near General Santos Oval Plaza,
"VACANT LOT FOR SALE IN AYALA ALABANG, MUNTINLUPA","PHP 135,000,000",Muntinlupa,"A vacant lot for sale in Ayala Alabang, Muntinlupa with a lot area of 540, priced at Php 135,000,000.",
"9,538 SQM LOT FOR SALE IN BALANGA, BATAAN","PHP 162,772,624","Roman Superhighway, Balanga, Bataan","9,538 sqm. Balanga, Bataan",
"2 BEDROOMS WITH BALCONY FOR SALE IN THE RISE, MAKATI","PHP 16,100,000","7248 Malugay, Makati, 1203 Kalakhang Maynila",2BR with balcony,
"4BR HOUSE FOR SALE IN SOUTHWOODS RESIDENTIAL ESTATES, CARMONA, CAVITE","PHP 50,000,000","Carmona, Cavite",4 Bedrooms,
"STUDIO UNIT FOR SALE IN TWIN OAKS PLACE, MANDALUYONG","PHP 7,280,000",Shaw Blvd. Mandaluyong,Furnished unit facing East,
"1BR CONDOMINIUM FOR SALE IN 8 FORBES TOWN ROAD, TAGUIG","PHP 11,500,000",Taguig,"- 1 Bedroom - Semi furnished - Tenanted until October 2025 - Floor area: 46 SQM - Price: Php 11,500,000 plus VAT",
"VACANT LOT FOR SALE IN PACIFIC VILLAGE, MUNTINLUPA","PHP 109,536,000","Pacific Village, Brgy. Cupang, Muntinlupa",Vacant Lot,
DONA SOLEDAD LOT,"PHP 495,390,000","Dona Soledad Avenue, Moonwalk, Paranaque City","2 Lots located at Dona Soledad Avenue, Moonwalk, Paranaque City. Lot 1a: 7,729 sqm, Lot 2a: 6,425 sqm",
"BUNGALOW FOR SALE IN BF HOMES, PARAÑAQUE","PHP 20,000,000","BF Homes, Parañaque, Metro Manila",Bungalow,
2842 SQM LOT FOR SALE IN BAGUIO,"PHP 362,147,534","Along Legarda-Bukaneg Street, Kisad-Legarda, Baguio City","2842 SQM. vacant lot, Bukaneg, Baguio",
"BUILDING FOR SALE - POBLACION, MAKATI","PHP 206,263,200","Makati Ave cor. P. Burgos Street, Brgy. Poblacion, Makati","Building for Sale - Poblacion, Makati",
"3BR CONDOMINIUM FOR SALE IN THE ARTON BY ROCKWELL, QUEZON CITY","PHP 28,250,000","Aurora Blvd. cor. Katipunan Ave, Quezon City",3 Bedroom,
"3BR CONDOMINIUM FOR SALE IN PARC REGENT, MAKATI","PHP 25,000,000","109 H.V. Dela Costa, Makati","Living room with balcony, MBR with own Toilet & Bath, 1 Common Toilet & Bath, Maid's room with CR, With service entrance",
"WESTBOROUGH TOWN CENTER (2,058 SQM)","PHP 329,280,000","Westborough Town Center, Inchican, Silang, Cavite",Westborough Town Center,
"1 BEDROOM FOR SALE IN ONE GATEWAY PLACE CONDO, MANDALUYONG","PHP 4,724,000","Robinsons Pioneer Complex, Pioneer St, Mandaluyong, 1550 Metro Manila",1BR,
"2,210 LAND FOR SALE - ARCA SOUTH, TAGUIG","PHP 940,425,521","Block 10, Lot 8, Arca South Commercial District, Brgy. West Bicutan, Taguig City","2,210 Land for Sale - Arca South, Taguig",
"5 HA COMMERCIAL PROPERTY FOR SALE IN SAN FERNANDO, LA UNION","PHP 1,600,000,000","Maharlika Highway, San Fernando, La Union",5 has. Lot along National Road,
MAGSAYSAY ST.,"PHP 110,800,000","Lot 7, Block 59, Magsaysay St.",Residential property for sale,
"BUILDING FOR SALE - KAPITOLYO, PASIG","PHP 132,620,000","San Antonio Street, Brgy. Kapitolyo, Pasig","Building For Sale - Kapitolyo, Pasig",
"6BR HOUSE AND LOT FOR SALE IN TALI BEACH SUBDIVISION, NASUGBU, BATANGAS","PHP 75,000,000","Nasugbu, Batangas",2-storey house with lower ground floor,
"1 BEDROOM FOR SALE IN ALPHALAND MAKATI PLACE, MAKATI","PHP 14,300,000","7232 Ayala Ave, Ext, Makati, 1209 Metro Manila",1BR,
"2BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, ACACIA ESTATES, TAGUIG","PHP 4,920,000","Acacia Estates, Taguig, Metro Manil",2BR,
"2BR CONDOMINIUM FOR SALE IN THE FORT RESIDENCES, TAGUIG","PHP 38,461,538.46",Taguig,"An unfurnished 2 bedroom loft type condominium unit for sale in The Fort Residences, Taguig, with a floor area of 86 SQM, priced at Php 38,461,538.46.",
"2 BEDROOMS FOR SALE IN LOYOLA HEIGHTS CONDOMINIUM, QUEZON CITY","PHP 5,177,200","Esteban Abada St, Quezon City, 1108 Metro Manila",2BR,
NORTHEAST GREENHILLS,"PHP 425,000,000",Northeast Greenhills,Brandnew house,
"3BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, IVORY BLDG, TAGUIG","PHP 6,080,000","Acacia Estate, Ivory Tower, Rosewood Pointe Levi B. Mariano Ave, Taguig, Metro Manila",3 Bedrooms,
"VACANT LOT FOR SALE IN ELARON, NUVALI","PHP 35,455,272","Elaro, Nuvali, Calamba, Laguna",Vacant Lot for Sale,
AURELIA RESIDENCES BGC - 3BR CONDO UNIT FOR SALE,750000,"Aurelia Residences, McKinley Parkway, BGC","3BR Premier B - Aurelia Residences, BGC Condo Unit for Sale",
"3BR CONDOMINIUM FOR SALE IN ONE SHANGRI-LA PLACE, MANDALUYONG","PHP 58,000,000",Mandaluyong,"A furnished 3 bedroom corner condominium unit with 1 parking space, balcony, and a floor area of 165 SQM, priced at Php 58,000,000.",
URDANETA VILLAGE,"PHP 835,000,004.52","Urdaneta Village, Makati","Lot Area: 1,284 SQM",
"3BR CONDOMINIUM FOR SALE IN CBY TOWER, MANILA","PHP 34,800,000",Manila,"A semi-furnished 3 bedroom condominium for sale in CBY Tower, Manila, with a floor area of 290 SQM, priced at Php 34,800,000. This property has a Master’s bedroom with own toilet and bath and small balcony, living room and kitchen with a balcony, and maid’s room with CR.",
PALAWAN ISLAND WITH HIGH END VILLAS,"PHP 3,000,000,000","Roxas, Palawan",Island located in Palawan,
"1BR CONDOMINIUM FOR SALE IN TIME SQUARE WEST, BGC, TAGUIG","PHP 10,170,000","Park Avenue, Taguig",1 Bedroom 1 Parking slot Furnished,
NEOPOLITAN BUSINESS PARK COMMERCIAL LOT FOR SALE,"PHP 208,700,000","B1 L6 Neopolitan Business Park, Novaliches, Quezon City",Commercial lot,
"3BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, ACACIA ESTATES, TAGUIG","PHP 6,080,000","Acacia Estates, Taguig, Metro Manila",2BR with drying cage,
1BR CONDOMINIUM FOR SALE IN WEST GALLERY PLACE TAGUIG,"PHP 23,400,000",Taguig,"A semi-furnished 1 Bedroom condominium unit with 1 toilet and bath and 1 parking space for sale in West Gallery Place, Taguig. This property has a floor area of 65 SQM, priced at Php 23,400,000.",
"SOUTH DRIVE, BAGUIO CITY","PHP 56,160,000","42 Tavera Street, Brgy. South Drive, Baguio City",House and Lot,
"1BR CONDOMINIUM FOR SALE IN BELLAGIO, TAGUIG","PHP 15,000,000",Taguig,"A 1 bedroom loft type condominium unit for sale in Bellagio, Taguig with a floor area of 58.3 SQM, priced at Php 15,000,000. This property has a parking space, and 2 toilets and baths. The unit is tenanted until October 2025, and the parking space is tenanted until June 2026.",
"3BR CONDOMINIUM FOR SALE IN CEDAR CREST, TAGUIG","PHP 7,470,000",Taguig,"- 3 Bedrooms - 2 Toilet and bath - Unfurnished - With service area - Floor area: 75 SQM - Price: Php 7,470,000",
STUDIO WITH PARKING SLOT IN CIRCUIT MAKATI,"303,571","Callisto Tower 2, Circuit Makati",Residential Property,
