City,Auction_Category,Discount_Pct_Max,Property_Name,Property_Type,Lot_Area_sqm,Floor_Area_sqm,Price_PHP,Price_per_sqm,Occupancy_Status,Auction_Date_Start,Auction_Date_End,Source,Scraped_Date
CEBU CITY,Negotiated Sale,45,UNIPLACE @ SWU VILLAGE,Condominium,,24.0,3770300.0,157095.83,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CEBU CITY,Negotiated Sale,45,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,,37.74,4204200.0,111399.05,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
CONSOLACION,Second Auction,30,DEO RESIDENCES,Townhouse,44.0,78.92,2963736.0,37553.67,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
CONSOLACION,Negotiated Sale,45,D` PEARL CONDOMINIUM BLDG. 1,Condominium,,31.39,1337000.0,42593.18,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
CONSOLACION,Negotiated Sale,45,D` PEARL CONDOMINIUM BLDG. 1,Condominium,,33.55,1747700.0,52092.4,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
CONSOLACION,Negotiated Sale,45,DEO CITY CONDOMINIUM BLDG 1,Condominium,,32.0,2327400.0,72731.25,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
DANAO CITY,Second Auction,30,VILLA YSABEL SUBDIVISION,Townhouse,40.0,56.0,1509120.0,26948.57,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,LA ALDEA DEL MAR,Townhouse,40.0,44.5,1479700.0,33251.69,Occupied/Closed,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,ASTANA SUBDIVISION,Townhouse,42.0,52.0,1752800.0,33707.69,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,ASTANA SUBDIVISION,Townhouse (End/Firewall),49.0,52.0,1939500.0,37298.08,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,SAEKYUNG VILLAGE ONE PHASE III,Condominium,,22.0,1969000.0,89500.0,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,SAEKYUNG VILLAGE ONE PHASE III,Condominium,,22.0,2124500.0,96568.18,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,BAYANIHAN FLATS - MACTAN 2,Condominium,,18.62,2137600.0,114801.29,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,BAYANIHAN FLATS MACTAN,Condominium,,18.62,2139400.0,114897.96,Occupied/Closed,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,BAYANIHAN FLATS - MACTAN 2,Condominium,,18.62,2173000.0,116702.47,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),First Auction,0,BAYANIHAN FLATS - MACTAN 2,Condominium,,37.24,4345900.0,116699.79,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Second Auction,30,SAEKYUNG VILLAGE I,Condominium,,22.0,1912050.0,86911.36,Unoccupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Second Auction,30,SAEKYUNG VILLAGE I,Condominium,,22.0,1983960.0,90180.0,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,LA ALDEA BUENA MACTAN,Lot Only,40.0,,368000.0,9200.0,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,LA ALDEA BUENA MACTAN,Townhouse,40.0,44.0,1101300.0,25029.55,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,HAPPY HOMES SUBDIVISION,Townhouse,40.0,63.56,1212355.0,19074.18,Unoccupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,LA ALDEA BUENA MACTAN,Townhouse,40.0,47.2,1216800.0,25779.66,Occupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,1408300.0,58679.17,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,ASTANA SUBDIVISION,Townhouse,42.0,52.0,1757000.0,33788.46,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,ASTANA SUBDIVISION,Townhouse,48.0,52.0,1815800.0,34919.23,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,1879200.0,78300.0,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,1887800.0,78658.33,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,1928900.0,80370.83,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,22.0,1969000.0,89500.0,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,22.0,2020800.0,91854.55,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,2025200.0,84383.33,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,2052000.0,85500.0,Unoccupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG 956,Condominium,,27.0,2096400.0,77644.44,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,2124000.0,88500.0,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,22.0,2124500.0,96568.18,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,BAYANIHAN FLATS MACTAN,Condominium,,18.62,2137600.0,114801.29,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,BAYANIHAN FLATS MACTAN,Condominium,,18.62,2138500.0,114849.62,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,BAYANIHAN FLATS MACTAN,Condominium,,18.62,2173000.0,116702.47,Occupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG 956,Condominium,,27.0,2197300.0,81381.48,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,22.0,2228100.0,101277.27,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG 956,Condominium,,27.0,2253700.0,83470.37,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,24.0,2778600.0,115775.0,Unoccupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,60.5,3403500.0,56256.2,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,63.0,3582800.0,56869.84,Occupied/Closed,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,60.5,4199200.0,69408.26,Occupied/Closed,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,BAYANIHAN FLATS MACTAN,Condominium,,37.24,4275200.0,114801.29,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,60.5,4731600.0,78208.26,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
LAPU-LAPU CITY (OPON),Negotiated Sale,45,SAEKYUNG VILLAGE I,Condominium,,60.5,5105100.0,84381.82,Unoccupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LILOAN,Negotiated Sale,45,AMADA CONDOMINIUM,Condominium,,18.14,1014000.0,55898.57,Occupied/Closed,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
LILOAN,Negotiated Sale,45,VILLA AZALEA SUBDIVISION,Townhouse (End/Firewall),46.0,46.4,1567800.0,33788.79,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
LILOAN,Negotiated Sale,45,VILLA AZALEA SUBDIVISION PHASE 2C,Townhouse,46.0,46.4,1602800.0,34543.1,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES - TIPOLO CONDO,Condominium,,25.0,1449700.0,57988.0,Occupied/Closed,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,30.6,3654800.0,119437.91,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,THE MIDPOINT RESIDENCES,Condominium,,25.0,3657300.0,146292.0,Occupied/Closed,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,30.6,3686400.0,120470.59,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,30.6,3790400.0,123869.28,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,30.6,3823500.0,124950.98,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,35.06,4256300.0,121400.46,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,35.57,4457600.0,125319.09,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,First Auction,0,URBAN DECA HOMES BANILAD,Condominium,,35.57,4535900.0,127520.38,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Second Auction,30,THE MIDPOINT RESIDENCES,Condominium,,21.63,2844990.0,131529.82,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Second Auction,30,URBAN DECA HOMES BANILAD,Condominium,,30.6,3260880.0,106564.71,Occupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3342500.0,109232.03,Occupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,THE MIDPOINT RESIDENCES,Condominium,,24.35,3569300.0,146583.16,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,THE MIDPOINT RESIDENCES,Condominium,,24.4,3573100.0,146438.52,Occupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3623200.0,118405.23,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3626200.0,118503.27,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,THE MIDPOINT RESIDENCES,Condominium,,24.8,3633200.0,146500.0,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3654800.0,119437.91,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3654900.0,119441.18,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,THE MIDPOINT RESIDENCES,Condominium,,25.0,3657300.0,146292.0,Occupied/Closed,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3659800.0,119601.31,Occupied/Closed,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3686400.0,120470.59,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,THE MIDPOINT RESIDENCES,Condominium,,25.73,3766900.0,146401.09,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,THE MIDPOINT RESIDENCES,Condominium,,25.77,3775300.0,146499.81,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,30.6,3790300.0,123866.01,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,35.06,4184500.0,119352.54,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,35.06,4221200.0,120399.32,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,35.06,4256300.0,121400.46,Unoccupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,35.57,4462100.0,125445.6,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,35.57,4535900.0,127520.38,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,42.07,5173000.0,122961.73,Occupied,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,42.07,5210800.0,123860.23,Unoccupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MANDAUE CITY,Negotiated Sale,45,URBAN DECA HOMES BANILAD,Condominium,,42.07,5213900.0,123933.92,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
MINGLANILLA,First Auction,0,DECA HOMES SUBDIVISION,Townhouse,38.0,46.4,1160600.0,25012.93,Unoccupied,2026-03-30,2026-04-03,Pag-IBIG OPA,2026-03-24
MINGLANILLA,Second Auction,30,VILLA PURITA HILLS SUBDIVISION,Single Attached,100.0,38.76,1510888.0,38980.6,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MINGLANILLA,Second Auction,30,VILLA PURITA HILLS SUBDIVISION,Townhouse,66.0,80.6,2110050.0,26179.28,Occupied/Closed,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MINGLANILLA,Negotiated Sale,45,DECA HOMES - TUNGKIL,Townhouse,38.0,46.4,1071700.0,23096.98,Occupied,2026-03-23,2026-03-27,Pag-IBIG OPA,2026-03-24
MINGLANILLA,Negotiated Sale,45,VILLA PURITA HILLS SUBDIVISION,Row House,146.0,125.0,4416180.0,35329.44,Occupied/Closed,2026-03-16,2026-03-20,Pag-IBIG OPA,2026-03-24
TALISAY CITY,Negotiated Sale,45,RUSTYVILLE SUBDIVISION,Lot Only,150.0,,1875000.0,12500.0,Unoccupied,2026-03-30,2026-04-10,Pag-IBIG OPA,2026-03-24
